filename,istrue,trust,x1,y1,x2,y2,category
w20190805084107410_57_epoch0_aug0x3,1,0.99942434,172,564,192,578,bird
w20190805084107410_57_epoch0_aug0x3,1,0.9941849,69,518,87,542,bird
w20190805084107410_57_epoch0_aug0x3,1,0.99079585,29,521,46,537,bird
w20190805084107410_57_epoch0_aug0x3,1,0.9461568000000001,7,520,23,535,bird
w20190805084107410_57_epoch0_aug0x3,1,0.8491769,2,584,16,605,bird
w20190805084107410_57_epoch0_aug0x3,1,0.7565732,77,595,92,608,bird
w20190805084107410_57_epoch0_aug0x3,1,0.7415821,50,593,66,606,bird
w20190805084107410_57_epoch0_aug0x3,0,0.71138865,110,597,127,608,bird
w20190705043819167_79_epoch0_aug0x0,1,0.9697834000000001,684,378,845,620,bird
w20190705043739842_178_epoch0_aug0x1,1,0.9844965,875,363,1135,604,bird
w20190719093725711_9_epoch0_aug0x0,1,0.96576834,661,115,800,271,bird
w20190719093725711_311_epoch0_aug0x0,1,0.99987555,1422,532,1693,741,bird
w20190719093725711_311_epoch0_aug0x0,1,0.97989184,803,487,1031,716,bird
w20190705043739842_283_epoch0_aug0x0,1,0.5600826,561,366,769,582,bird
w20190805084107410_73_epoch0_trim1x2,1,0.99959534,674,313,691,327,bird
w20190805084107410_73_epoch0_trim1x2,1,0.9978777,821,268,837,282,bird
w20190805084107410_73_epoch0_trim1x2,1,0.9972101999999999,869,262,891,277,bird
w20190805084107410_73_epoch0_trim1x2,1,0.97457767,742,338,760,354,bird
w20190805084107410_73_epoch0_trim1x2,1,0.95423234,827,329,846,348,bird
w20190805084107410_73_epoch0_trim1x2,1,0.9471398000000001,931,251,949,272,bird
w20190805084107410_73_epoch0_trim1x2,0,0.5486175999999999,727,335,741,350,bird
w20190618063144857_136_epoch0_aug0x0,1,0.9999994000000001,47,69,336,568,bird
w20190719093725711_30_epoch0_aug1x0,1,0.99865806,201,638,359,752,bird
w20190719093725711_30_epoch0_aug1x0,1,0.99740076,860,662,1003,763,bird
w20190719093725711_30_epoch0_aug1x0,1,0.9618382,1609,536,1700,651,bird
w20190719093725711_30_epoch0_aug1x0,1,0.9592871999999999,1493,651,1577,790,bird
w20190719093725711_30_epoch0_aug1x0,1,0.94885224,1458,257,1556,389,bird
w20190719093725711_30_epoch0_aug1x0,1,0.9274946,1694,474,1792,562,bird
w20190719093725711_30_epoch0_aug1x0,1,0.9245375,1046,593,1177,767,bird
w20190719093725711_30_epoch0_aug1x0,1,0.8493094999999999,1562,577,1649,698,bird
w20190719093725711_30_epoch0_aug1x0,1,0.81881404,1652,491,1743,588,bird
w20190705043739842_62_epoch0_aug0x0,1,0.66302574,1287,415,1410,659,bird
w20190805084121403_157_epoch0_trim1x1,1,0.95983034,935,431,1023,526,bird
w20190719093725711_489_epoch0_aug0x0,1,0.9985459000000001,507,186,1015,756,bird
w20190719093725711_489_epoch0_aug0x0,1,0.9943011999999999,1224,420,1632,783,bird
w20190705043819167_151_epoch0_aug0x0,1,0.7989108,888,365,1028,553,bird
w20190805084121403_192_epoch0_aug0x3,1,0.84260577,85,500,171,571,bird
w20190805084121403_111_epoch0_trim1x1,1,0.9902261999999998,421,54,437,70,bird
w20190805084121403_111_epoch0_trim1x1,1,0.86395025,317,126,342,145,bird
w20190805084121403_111_epoch0_trim1x1,1,0.771839,37,66,76,92,bird
w20190719093725711_21_epoch0_aug1x0,1,0.99851996,543,653,624,742,bird
w20190719093725711_21_epoch0_aug1x0,1,0.99757403,411,151,480,238,bird
w20190719093725711_21_epoch0_aug1x0,1,0.99412775,270,282,323,356,bird
w20190719093725711_21_epoch0_aug1x0,1,0.98928165,679,376,767,446,bird
w20190719093725711_21_epoch0_aug1x0,1,0.9660058000000001,1209,127,1294,220,bird
w20190719093725711_21_epoch0_aug1x0,1,0.96547025,328,335,377,408,bird
w20190719093725711_21_epoch0_aug1x0,1,0.85026413,1275,371,1371,442,bird
w20190719093725711_21_epoch0_aug1x0,1,0.79772735,369,352,446,487,bird
w20190618063144857_59_epoch0_aug0x1,1,0.9999998999999999,156,76,398,277,bird
w20190719093725711_51_epoch0_aug0x0,1,0.99823666,472,876,645,1024,bird
w20190719093725711_51_epoch0_aug0x0,1,0.9980045,86,454,213,620,bird
w20190719093725711_51_epoch0_aug0x0,1,0.9952525999999999,1066,913,1228,1031,bird
w20190719093725711_51_epoch0_aug0x0,1,0.9467197,1801,808,1906,931,bird
w20190719093725711_51_epoch0_aug0x0,1,0.94436824,646,887,830,1030,bird
w20190719093725711_51_epoch0_aug0x0,2,0.93548334,1735,880,1838,995,bird
w20190719093725711_51_epoch0_aug0x0,1,0.7808124,744,891,906,1034,bird
w20190719093725711_51_epoch0_aug0x0,1,0.54315966,1720,930,1819,1037,bird
w20190719093725711_114_epoch0_aug0x0,1,0.9659315999999999,1921,123,2057,279,bird
w20190719093725711_114_epoch0_aug0x0,1,0.9260189,596,662,760,883,bird
w20190618063144857_438_epoch0_aug0x0,1,0.99999356,199,97,396,215,bird
w20190719093725711_345_epoch0_aug1x0,1,0.8654103999999999,857,15,1249,252,bird
w20190805084121403_93_epoch0_aug1x0,1,0.71464264,508,164,603,274,bird
w20190719093725711_106_epoch0_aug0x0,1,0.8907521999999999,1568,652,1630,688,bird
w20190705043739842_338_epoch0_aug0x1,1,0.9980841999999999,836,371,1202,764,bird
w20190805084121403_156_epoch0_trim0x0,1,0.6835445,752,849,929,899,bird
w20190805083851060_138_epoch0_aug1x0,1,0.9997136999999999,881,1084,937,1133,bird
w20190805083851060_138_epoch0_aug1x0,1,0.9994449000000001,1897,1387,1953,1422,bird
w20190805083851060_138_epoch0_aug1x0,0,0.9952048000000001,1368,1288,1426,1332,bird
w20190805083851060_138_epoch0_aug1x0,1,0.9950465000000001,2142,1400,2190,1441,bird
w20190805083851060_138_epoch0_aug1x0,1,0.98516196,281,1035,431,1138,bird
w20190805083851060_138_epoch0_aug1x0,2,0.97931415,2205,1390,2247,1426,bird
w20190805083851060_138_epoch0_aug1x0,1,0.9654377000000001,2003,1393,2057,1431,bird
w20190805083851060_138_epoch0_aug1x0,1,0.93724376,550,1055,640,1141,bird
w20190805083851060_138_epoch0_aug1x0,1,0.91739935,758,1142,791,1176,bird
w20190805083851060_138_epoch0_aug1x0,1,0.89199024,1134,1156,1165,1195,bird
w20190805083851060_138_epoch0_aug1x0,1,0.8452004000000001,2027,1394,2079,1431,bird
w20190805083851060_138_epoch0_aug1x0,1,0.73213935,470,992,622,1135,bird
w20190805084107410_49_epoch0_aug1x2,1,0.9994573,391,431,410,450,bird
w20190805084107410_49_epoch0_aug1x2,0,0.99940884,238,403,255,415,bird
w20190805084107410_49_epoch0_aug1x2,1,0.9990081000000001,280,437,297,452,bird
w20190805084107410_49_epoch0_aug1x2,1,0.99889874,343,439,359,455,bird
w20190805084107410_49_epoch0_aug1x2,1,0.99834466,360,373,374,387,bird
w20190805084107410_49_epoch0_aug1x2,0,0.9981993,427,365,437,379,bird
w20190805084107410_49_epoch0_aug1x2,1,0.988405,315,369,341,390,bird
w20190805084107410_49_epoch0_aug1x2,1,0.9506834000000001,295,445,313,459,bird
w20190805084107410_49_epoch0_aug1x2,1,0.92022973,275,379,291,396,bird
w20190805084107410_49_epoch0_aug1x2,1,0.90824294,386,371,399,384,bird
w20190618063144857_297_epoch0_aug0x0,1,0.9999982,128,119,283,366,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9991228999999999,785,842,827,869,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9987394,408,850,436,873,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9986457000000001,1661,776,1734,838,bird
w20190805083851060_122_epoch0_aug1x0,2,0.99843436,303,849,334,874,bird
w20190805083851060_122_epoch0_aug1x0,1,0.99630094,212,824,232,850,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9899412000000001,436,849,467,872,bird
w20190805083851060_122_epoch0_aug1x0,1,0.98523384,1441,760,1495,816,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9839976999999999,1479,701,1575,809,bird
w20190805083851060_122_epoch0_aug1x0,1,0.96514565,1039,766,1067,795,bird
w20190805083851060_122_epoch0_aug1x0,1,0.9299721,1339,800,1361,825,bird
w20190805083851060_122_epoch0_aug1x0,0,0.7574717,1123,827,1150,853,bird
w20190805083851060_122_epoch0_aug1x0,1,0.6744486,836,841,867,866,bird
w20190805083851060_122_epoch0_aug1x0,1,0.50947493,1113,837,1145,861,bird
w20190618063144857_267_epoch0_aug0x0,1,0.9999988000000001,210,150,403,300,bird
w20190705043739842_69_epoch0_aug0x0,1,0.8907301,784,857,974,1104,bird
w20190805084107410_73_epoch0_aug1x2,1,0.9971349,176,394,198,410,bird
w20190805084107410_73_epoch0_aug1x2,1,0.9937143,185,463,211,489,bird
w20190805084107410_73_epoch0_aug1x2,1,0.9894270000000001,240,386,266,405,bird
w20190805084107410_73_epoch0_aug1x2,1,0.97540265,85,477,105,498,bird
w20190805084107410_73_epoch0_aug1x2,1,0.9628375,301,372,323,401,bird
w20190805084107410_73_epoch0_aug1x2,1,0.9113247999999999,0,440,19,455,bird
w20190805084107410_73_epoch0_aug1x2,2,0.7236014000000001,8,449,28,465,bird
w20190805084107410_73_epoch0_aug1x2,1,0.50465995,55,471,67,494,bird
w20190805084121403_105_epoch0_trim0x1,1,0.9920598,833,776,862,811,bird
w20190805084121403_105_epoch0_trim0x1,1,0.8118571,831,617,907,660,bird
w20190719093725711_133_epoch0_aug1x0,1,0.9993591000000001,1501,337,1655,519,bird
w20190719093725711_133_epoch0_aug1x0,1,0.9988655000000001,304,92,417,227,bird
w20190719093725711_133_epoch0_aug1x0,1,0.99222445,967,268,1120,451,bird
w20190719093725711_133_epoch0_aug1x0,1,0.98168015,1679,355,1823,517,bird
w20190719093725711_133_epoch0_aug1x0,1,0.971184,822,266,944,432,bird
w20190719093725711_133_epoch0_aug1x0,1,0.9376488000000002,516,269,699,405,bird
w20190719093725711_133_epoch0_aug1x0,1,0.8916344999999999,358,139,467,315,bird
w20190719093725711_133_epoch0_aug1x0,1,0.840024,422,206,521,351,bird
w20190705043819167_172_epoch0_aug0x0,1,0.9915207,1131,758,1286,950,bird
w20190719093725711_404_epoch0_aug0x0,1,0.955176,1543,678,1855,1016,bird
w20190719093725711_404_epoch0_aug0x0,1,0.8954989,23,558,281,945,bird
w20190805083851060_125_epoch0_aug0x1,1,0.9999908000000002,1066,923,1105,957,bird
w20190805083851060_125_epoch0_aug0x1,0,0.9994978000000001,1490,886,1521,910,bird
w20190805083851060_125_epoch0_aug0x1,0,0.9993593000000001,1561,865,1594,895,bird
w20190805083851060_125_epoch0_aug0x1,1,0.99629325,790,960,821,988,bird
w20190805083851060_125_epoch0_aug0x1,2,0.9932554,1650,849,1680,879,bird
w20190805083851060_125_epoch0_aug0x1,1,0.9293289,438,936,489,986,bird
w20190805083851060_125_epoch0_aug0x1,1,0.86080396,646,883,684,913,bird
w20190805083851060_125_epoch0_aug0x1,1,0.8013058000000001,846,878,865,902,bird
w20190805083851060_125_epoch0_aug0x1,0,0.7929283,855,881,874,909,bird
w20190805083851060_125_epoch0_aug0x1,0,0.744314,588,944,612,967,bird
w20190805083851060_125_epoch0_aug0x1,1,0.6705661,389,899,440,964,bird
w20190618063144857_342_epoch0_aug0x0,1,0.99708503,290,152,405,295,bird
w20190618063144857_185_epoch0_aug0x1,1,0.99998474,271,32,454,342,bird
w20190805084121403_100_epoch0_trim1x1,1,0.9977016,281,282,301,298,bird
w20190805084121403_100_epoch0_trim1x1,1,0.9546600000000001,499,44,534,61,bird
w20190805084121403_100_epoch0_trim1x1,1,0.9516545,423,216,445,233,bird
w20190805084121403_100_epoch0_trim1x1,1,0.9141295,565,47,585,67,bird
w20190805084121403_99_epoch0_aug1x5,1,0.9995493000000001,472,338,571,477,bird
w20190618063144857_327_epoch0_aug0x1,1,0.9999994000000001,152,82,361,326,bird
w20190805084121403_184_epoch0_aug2x2,1,0.97028804,245,279,335,330,bird
w20190719093725711_60_epoch0_aug0x1,1,0.99849355,1574,345,1766,495,bird
w20190719093725711_60_epoch0_aug0x1,1,0.981042,1190,372,1381,492,bird
w20190719093725711_60_epoch0_aug0x1,1,0.95344883,372,856,474,950,bird
w20190805084121403_59_epoch0_trim1x2,1,0.9998995,873,372,893,386,bird
w20190805084121403_59_epoch0_trim1x2,1,0.99945146,935,370,953,385,bird
w20190805084121403_59_epoch0_trim1x2,1,0.9962999,950,317,961,327,bird
w20190805084121403_59_epoch0_trim1x2,0,0.9823136,1010,368,1020,382,bird
w20190805084121403_59_epoch0_trim1x2,1,0.86312914,601,365,623,384,bird
w20190805084121403_59_epoch0_trim1x2,1,0.7832316999999999,0,103,72,194,bird
w20190805084121403_59_epoch0_trim1x2,1,0.72054255,593,361,611,381,bird
w20190719093725711_355_epoch0_aug0x0,1,0.99080175,1511,830,1798,1070,bird
w20190719093725711_355_epoch0_aug0x0,1,0.95288545,1621,336,1907,574,bird
w20190719093725711_355_epoch0_aug0x0,1,0.8729689,577,465,844,680,bird
w20190618063144857_327_epoch0_aug0x0,1,0.9999993,151,81,362,326,bird
w20190719093725711_302_epoch0_aug0x1,1,0.99139977,1736,510,1945,645,bird
w20190719093725711_302_epoch0_aug0x1,1,0.5807303,1566,452,1746,642,bird
w20190805084121403_128_epoch0_trim0x1,1,0.87606335,243,689,274,737,bird
w20190805084107410_66_epoch0_aug2x1,1,0.99970955,478,275,508,315,bird
w20190805084107410_66_epoch0_aug2x1,1,0.9960582,27,238,46,255,bird
w20190805084107410_66_epoch0_aug2x1,1,0.98484623,162,213,185,247,bird
w20190805084107410_66_epoch0_aug2x1,1,0.9769766,85,227,113,247,bird
w20190805084107410_66_epoch0_aug2x1,1,0.9349142,9,241,28,256,bird
w20190805084107410_66_epoch0_aug2x1,1,0.53007233,41,306,67,336,bird
w20190719093725711_509_epoch0_aug0x1,1,0.99882084,694,819,776,905,bird
w20190719093725711_509_epoch0_aug0x1,1,0.99806577,533,817,642,898,bird
w20190719093725711_509_epoch0_aug0x1,1,0.9974685999999999,1380,499,1482,607,bird
w20190719093725711_509_epoch0_aug0x1,1,0.9715029000000001,613,56,764,191,bird
